detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
10104,Tree (Standing Only),Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10105,Fence,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
10106,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10107,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
10108,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10109,Other Fixed Object,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
10110,Rollover/Overturn,Dawn,Rural-Minor Collector,Not an Intersection,f
10111,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
10112,Fell/Jumped from Vehicle,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
10113,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Major Collector,Four-Way Intersection,f
10114,Fence,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10115,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10116,Other Fixed Object,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10117,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
10118,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10119,Other Fixed Object,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10120,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
10121,Ditch,Daylight,Rural-Major Collector,Not an Intersection,f
10122,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
10123,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Y-Intersection,t
10124,Ditch,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
10125,Pedestrian,Dawn,Urban-Local Road or Street,Not an Intersection,f
10126,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,t
10127,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
10128,"Other Post, Other Pole or Other Supports",Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
10129,Mail Box,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
10130,Utility Pole/Light Support,Dawn,Urban-Local Road or Street,Not an Intersection,f
10131,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Four-Way Intersection,t
10132,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,t
10133,Motor Vehicle In-Transport ,Dusk,Rural-Local Road or Street,Four-Way Intersection,t
10134,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10135,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
10136,"Other Post, Other Pole or Other Supports",Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10137,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
10138,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
10139,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
10140,Ditch,Daylight,Rural-Major Collector,Not an Intersection,t
10141,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,T-Intersection,t
10142,Other Traffic Barrier,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
10143,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
10144,Other Traffic Barrier,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
10145,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
10146,Non-Motorist on Personal Conveyance,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
10147,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
10148,Culvert,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
10149,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
10150,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
10151,Motor Vehicle In-Transport ,Dusk,Urban-Other Principal Arterial,Not an Intersection,t
10152,Motor Vehicle In-Transport ,Dusk,Urban-Other Principal Arterial,Four-Way Intersection,f
10153,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
10154,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10155,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
10156,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10157,Other Fixed Object,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
10158,Tree (Standing Only),Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10159,Mail Box,Daylight,Rural-Local Road or Street,Not an Intersection,f
10160,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
10161,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10162,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
10163,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,t
10164,Motor Vehicle In-Transport ,Dusk,Urban-Other Principal Arterial,Four-Way Intersection,f
10165,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
10166,Motor Vehicle In-Transport ,Dusk,Rural-Principal Arterial-Interstate,Not an Intersection,t
10167,Utility Pole/Light Support,Daylight,Urban-Minor Arterial,Not an Intersection,f
10168,"Other Post, Other Pole or Other Supports",Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10169,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10170,Pedestrian,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,t
10171,Culvert,Dusk,Rural-Local Road or Street,Not an Intersection,t
10172,Bridge Rail (Includes parapet),Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
10173,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
10174,Motor Vehicle In-Transport ,Dusk,Rural-Minor Arterial,Four-Way Intersection,t
10175,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
10176,Bridge Pier or Support,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10177,Tree (Standing Only),Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
10178,Rollover/Overturn,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
10179,Rollover/Overturn,Dark - Unknown Lighting,Rural-Principal Arterial-Other,Not an Intersection,f
10180,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
10181,"Other Post, Other Pole or Other Supports",Dusk,Urban-Other Principal Arterial,Not an Intersection,f
10182,Embankment,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
10183,Embankment,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
10184,Motor Vehicle In-Transport ,Daylight,Rural-Minor Collector,Not an Intersection,f
10185,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
10186,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
10187,Motor Vehicle In-Transport ,Daylight,Rural-Minor Collector,Not an Intersection,f
10188,Tree (Standing Only),Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
10189,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,f
10190,Embankment,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
10191,Pedestrian,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
10192,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
10193,Tree (Standing Only),Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,t
10194,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,t
10195,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,t
10196,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
10197,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
10198,Embankment,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10199,Motor Vehicle In-Transport ,Dusk,Rural-Principal Arterial-Other,Not an Intersection,f
10200,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10201,Motor Vehicle In-Transport ,Dawn,Rural-Minor Collector,Not an Intersection,t
10202,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
10203,Boulder,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
10204,Pedestrian,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
10205,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
10206,Guardrail Face,Daylight,Rural-Major Collector,Not an Intersection,f
10207,Pedestrian,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,f
10208,Railway Vehicle,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
10209,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,T-Intersection,f
10210,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
10211,Pedestrian,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
10212,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
10213,Motor Vehicle In-Transport ,Dawn,Urban-Minor Arterial,Not an Intersection,f
10214,Utility Pole/Light Support,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
10215,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10216,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
10217,Embankment,Daylight,Urban-Collector,T-Intersection,f
10218,Tree (Standing Only),Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10219,Motor Vehicle In-Transport ,Dawn,Rural-Minor Arterial,Not an Intersection,f
10220,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
10221,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,f
10222,Pedestrian,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,f
10223,Parked Motor Vehicle ,Daylight,Rural-Minor Collector,Not an Intersection,f
10224,Immersion,Daylight,Rural-Minor Collector,Not an Intersection,f
10225,Traffic Sign Support ,Dark - Not Lighted,Rural-Minor Collector,T-Intersection,t
10226,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
10227,Motor Vehicle In-Transport ,Daylight,Rural-Minor Collector,Not an Intersection,t
10228,Tree (Standing Only),Daylight,Rural-Minor Collector,Not an Intersection,f
10229,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Four-Way Intersection,f
10230,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,t
10231,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10232,Pedestrian,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
10233,Motor Vehicle In-Transport ,Dawn,Rural-Principal Arterial-Other,T-Intersection,f
10234,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
10235,Embankment,Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,f
10236,Bridge Pier or Support,Daylight,Rural-Local Road or Street,Not an Intersection,t
10237,Guardrail End,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10238,Guardrail End,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
10239,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
10240,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,t
10241,Utility Pole/Light Support,Daylight,Rural-Minor Arterial,Not an Intersection,f
10242,Motor Vehicle In-Transport ,Daylight,Urban-Collector,Four-Way Intersection,f
10243,Tree (Standing Only),Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
10244,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,T-Intersection,t
10245,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
10246,Parked Motor Vehicle ,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
10247,Ditch,Daylight,Rural-Local Road or Street,Not an Intersection,t
10248,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Major Collector,Four-Way Intersection,t
10249,Tree (Standing Only),Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,t
10250,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
10251,Bridge Overhead Structure,Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,t
10252,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
10253,Concrete Traffic Barrier,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,t
10254,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,f
10255,Motor Vehicle In-Transport ,Daylight,Urban-Collector,Not an Intersection,f
10256,Tree (Standing Only),Daylight,Urban-Minor Arterial,Not an Intersection,f
10257,Tree (Standing Only),Dawn,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
10258,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10259,Rollover/Overturn,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
10260,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
10261,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
10262,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
10263,Embankment,Daylight,Rural-Local Road or Street,Not an Intersection,f
10264,Tree (Standing Only),Daylight,Rural-Minor Collector,Not an Intersection,t
10265,Rollover/Overturn,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
10266,"Other Post, Other Pole or Other Supports",Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
10267,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,f
10268,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10269,Motor Vehicle In-Transport ,Daylight,Rural-Minor Collector,T-Intersection,f
10270,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
10271,Ditch,Dawn,Rural-Major Collector,Not an Intersection,f
10272,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
10273,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
10274,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
10275,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
10276,Rollover/Overturn,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
10277,Motor Vehicle In-Transport ,Dawn,Urban-Other Principal Arterial,T-Intersection,f
10278,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10279,Fence,Daylight,Urban-Local Road or Street,Not an Intersection,f
10280,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,t
10281,Traffic Sign Support ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10282,Pedestrian,Dusk,Urban-Local Road or Street,Not an Intersection,f
10283,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10284,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
10285,Live Animal,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
10286,"Other Post, Other Pole or Other Supports",Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
10287,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
10288,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,t
10289,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
10290,Concrete Traffic Barrier,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
10291,Guardrail End,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
10292,Cable Barrier,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
10293,Parked Motor Vehicle ,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
10294,Embankment,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10295,Tree (Standing Only),Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
10296,"Other Post, Other Pole or Other Supports",Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
10297,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
10298,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
10299,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
10300,Tree (Standing Only),Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
10301,Curb,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
10302,Pedestrian,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
10303,Bridge Pier or Support,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
10304,Pedestrian,Daylight,Rural-Major Collector,T-Intersection,f
10305,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10306,Utility Pole/Light Support,Daylight,Urban-Local Road or Street,Not an Intersection,f
10307,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,f
10308,Embankment,Daylight,Rural-Minor Collector,Not an Intersection,f
10309,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
10310,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Major Collector,T-Intersection,f
10311,Pedestrian,Dark - Lighted,Rural-Minor Collector,Not an Intersection,f
10312,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
10313,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
