detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
52814,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
52815,Pedestrian,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
52816,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
52817,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
52818,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52819,Parked Motor Vehicle ,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
52820,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
52821,Curb,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52822,Curb,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
52823,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
52824,Curb,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52825,Curb,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52826,Pedestrian,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
52827,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,T-Intersection,t
52828,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,T-Intersection,t
52829,Motor Vehicle In-Transport ,Dusk,Urban-Local Road or Street,Four-Way Intersection,f
52830,Curb,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
52831,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
52832,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
52833,Concrete Traffic Barrier,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
52834,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
52835,Utility Pole/Light Support,Daylight,Rural-Major Collector,Not an Intersection,f
52836,Curb,Dusk,Urban-Local Road or Street,T-Intersection,f
52837,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
52838,Curb,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
52839,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,t
52840,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,t
52841,Pedestrian,Daylight,Urban-Collector,Not an Intersection,f
52842,Curb,Dusk,Urban-Principal Arterial-Interstate,Not an Intersection,f
52843,Tree (Standing Only),Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52844,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52845,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,f
52846,Fell/Jumped from Vehicle,Daylight,Urban-Local Road or Street,Not an Intersection,f
52847,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52848,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
52849,Other Object (not fixed),Daylight,Urban-Minor Arterial,Not an Intersection,f
52850,Tree (Standing Only),Dusk,Rural-Local Road or Street,Not an Intersection,f
52851,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
52852,Concrete Traffic Barrier,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52853,Tree (Standing Only),Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52854,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52855,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
52856,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Y-Intersection,f
52857,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,f
52858,Pedestrian,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52859,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52860,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
52861,Fence,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,t
52862,Curb,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Four-Way Intersection,t
52863,Curb,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
52864,Guardrail Face,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52865,Curb,Daylight,Urban-Minor Arterial,Not an Intersection,f
52866,Pedalcyclist,Daylight,Urban-Minor Arterial,Not an Intersection,f
52867,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,f
52868,Curb,Daylight,Urban-Other Principal Arterial,T-Intersection,f
52869,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
52870,Curb,Dark - Lighted,Urban-Minor Arterial,T-Intersection,t
52871,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
52872,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52873,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
52874,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
52875,Tree (Standing Only),Daylight,Rural-Major Collector,Not an Intersection,f
52876,Pedestrian,Dark - Not Lighted,Urban-Minor Arterial,T-Intersection,f
52877,Curb,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
52878,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
52879,Motor Vehicle In-Transport ,Daylight,Urban-Collector,Not an Intersection,f
52880,Pedestrian,Other,Urban-Minor Arterial,Not an Intersection,f
52881,Pedalcyclist,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52882,Pedestrian,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
52883,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
52884,Curb,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
52885,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
52886,Curb,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
52887,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
52888,Traffic Sign Support ,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
52889,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,t
52890,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
52891,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
52892,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
52893,Tree (Standing Only),Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
52894,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
52895,Rollover/Overturn,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
52896,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
52897,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Local Road or Street,Four-Way Intersection,f
52898,Parked Motor Vehicle ,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52899,Guardrail Face,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52900,Utility Pole/Light Support,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
52901,Tree (Standing Only),Daylight,Rural-Major Collector,Not an Intersection,f
52902,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
52903,Pedalcyclist,Daylight,Urban-Local Road or Street,Not an Intersection,f
52904,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,t
52905,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
52906,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
52907,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,f
52908,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
52909,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
52910,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,f
52911,Pedestrian,Dusk,Rural-Local Road or Street,Not an Intersection,f
52912,Pedalcyclist,Daylight,Urban-Minor Arterial,Not an Intersection,f
52913,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
52914,Curb,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
52915,Parked Motor Vehicle ,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
52916,Guardrail Face,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
52917,Pedestrian,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
52918,Tree (Standing Only),Dark - Lighted,Urban-Collector,Not an Intersection,f
52919,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
52920,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
52921,Shrubbery,Dawn,Rural-Minor Arterial,Not an Intersection,f
52922,Embankment,Daylight,Urban-Collector,Not an Intersection,f
52923,Curb,Daylight,Urban-Local Road or Street,Not an Intersection,f
52924,Railway Vehicle,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
52925,Tree (Standing Only),Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
52926,Guardrail Face,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
52927,Pedestrian,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,f
52928,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
52929,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
52930,Embankment,Daylight,Urban-Local Road or Street,Not an Intersection,t
52931,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
52932,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52933,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Collector,Four-Way Intersection,t
52934,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
52935,Embankment,Dawn,Urban-Principal Arterial-Interstate,Not an Intersection,f
52936,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,f
52937,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,t
52938,Curb,Dark - Not Lighted,Urban-Local Road or Street,T-Intersection,t
52939,Pedestrian,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
52940,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,t
52941,Parked Motor Vehicle ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
52942,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,T-Intersection,t
52943,Guardrail Face,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,f
52944,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52945,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
52946,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
52947,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
52948,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
52949,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,T-Intersection,t
52950,Pedestrian,Dark - Lighted,Urban-Collector,Not an Intersection,f
52951,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
52952,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Minor Arterial,T-Intersection,t
52953,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
52954,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
52955,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
52956,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,f
52957,Guardrail Face,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
52958,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
52959,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
52960,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
52961,Guardrail Face,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
52962,Tree (Standing Only),Dark - Not Lighted,Rural-Local Road or Street,T-Intersection,t
52963,Tree (Standing Only),Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
52964,Rollover/Overturn,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52965,Guardrail Face,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
52966,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
52967,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,T-Intersection,f
52968,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
52969,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52970,Thrown or Falling Object,Daylight,Urban-Minor Arterial,Not an Intersection,f
52971,Motor Vehicle In-Transport ,Daylight,Urban-Collector,Not an Intersection,t
52972,Traffic Sign Support ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52973,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
52974,Concrete Traffic Barrier,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52975,Parked Motor Vehicle ,Daylight,Urban-Local Road or Street,Not an Intersection,f
52976,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
52977,Tree (Standing Only),Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
52979,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
52980,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
52981,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,t
52982,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
52983,Pedestrian,Dark - Lighted,Urban-Minor Arterial,T-Intersection,f
52984,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
52985,Motor Vehicle In-Transport ,Dusk,Urban-Minor Arterial,T-Intersection,t
52986,Curb,Dawn,Urban-Other Principal Arterial,Not an Intersection,t
52987,Pedestrian,Daylight,Urban-Minor Arterial,Not an Intersection,f
52988,Ground,Daylight,Urban-Local Road or Street,Not an Intersection,t
52989,Tree (Standing Only),Daylight,Urban-Minor Arterial,Not an Intersection,t
52990,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52991,Guardrail Face,Dark - Not Lighted,Urban-Collector,Not an Intersection,t
52992,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52993,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
52994,Pedestrian,Daylight,Urban-Local Road or Street,T-Intersection,f
52995,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
52996,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,t
52997,Pedestrian,Dark - Lighted,Rural-Principal Arterial-Other,T-Intersection,f
52998,Mail Box,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
52999,Guardrail End,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
53000,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
53001,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,T-Intersection,t
53002,Pedestrian,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
53003,Guardrail Face,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
53004,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
53005,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
53006,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
53007,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
53008,Concrete Traffic Barrier,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
53009,Curb,Dark - Lighted,Urban-Local Road or Street,T-Intersection,t
53010,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,t
53011,Rollover/Overturn,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
53012,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
53013,Tree (Standing Only),Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
53014,Pedalcyclist,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
53015,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
53016,"Other Post, Other Pole or Other Supports",Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
53017,Rollover/Overturn,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
53018,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
53019,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
53020,Utility Pole/Light Support,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
53021,Pedalcyclist,Daylight,Urban-Local Road or Street,T-Intersection,f
53022,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
53023,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
53024,Rollover/Overturn,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
53025,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
53026,Pedestrian,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
53027,Pedestrian,Dark - Lighted,Urban-Collector,Not an Intersection,t
53028,Motor Vehicle In-Transport ,Daylight,Urban-Collector,Four-Way Intersection,f
53029,Other Fixed Object,Daylight,Urban-Minor Arterial,Not an Intersection,f
53030,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,f
53031,Curb,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
53032,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
53033,Motor Vehicle In-Transport ,Dusk,Urban-Other Principal Arterial,Not an Intersection,f
53034,Pedestrian,Dark - Lighted,Urban-Minor Arterial,T-Intersection,f
53035,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
53036,Motor Vehicle In-Transport ,Dawn,Urban-Other Principal Arterial,Not an Intersection,t
53037,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,t
53038,Pedestrian,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
53039,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
53040,Curb,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
53041,Curb,Daylight,Urban-Minor Arterial,Not an Intersection,f
53042,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
53043,"Other Post, Other Pole or Other Supports",Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
53044,Embankment,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
53045,Rollover/Overturn,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
53046,Rollover/Overturn,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
58707,Curb,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
53047,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
53048,Tree (Standing Only),Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
53049,Utility Pole/Light Support,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,t
53050,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
53051,Pedestrian,Dark - Lighted,Urban-Local Road or Street,T-Intersection,f
53052,Pedalcyclist,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
53053,Rollover/Overturn,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
53054,Curb,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
53055,Rollover/Overturn,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
53056,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
53057,Rollover/Overturn,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
53058,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
53059,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
53060,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Y-Intersection,f
53061,Motor Vehicle In-Transport ,Dusk,Urban-Other Principal Arterial,Four-Way Intersection,f
53062,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
53063,Rollover/Overturn,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
53064,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
53065,Immersion,Daylight,Rural-Local Road or Street,Not an Intersection,t
53066,Pedestrian,Daylight,Urban-Collector,Not an Intersection,f
53067,Live Animal,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
53068,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
53069,"Other Post, Other Pole or Other Supports",Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
53070,Pedestrian,Daylight,Urban-Minor Arterial,T-Intersection,f
53071,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,T-Intersection,t
53072,Pedestrian,Daylight,Urban-Local Road or Street,Not an Intersection,f
53073,Utility Pole/Light Support,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
53074,Parked Motor Vehicle ,Daylight,Urban-Local Road or Street,T-Intersection,t
53075,Embankment,Daylight,Rural-Major Collector,Not an Intersection,f
53076,Embankment,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
53077,Curb,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
53078,Tree (Standing Only),Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
53079,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
53080,Curb,Daylight,Urban-Minor Arterial,Not an Intersection,f
53081,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,T-Intersection,f
53082,Pedalcyclist,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
53083,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
53084,Pedalcyclist,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
53085,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
53086,Guardrail Face,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
53087,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
53088,Curb,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
53089,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
53090,Parked Motor Vehicle ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
53091,Mail Box,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
53092,Rollover/Overturn,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
53093,Guardrail Face,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
53094,Guardrail Face,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
53095,Utility Pole/Light Support,Dark - Lighted,Urban-Minor Arterial,T-Intersection,t
53096,Tree (Standing Only),Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
53097,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
53098,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
