detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
42819,Ditch,Dusk,Urban-Local Road or Street,T-Intersection,f
42820,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
42821,Utility Pole/Light Support,Daylight,Urban-Minor Arterial,Not an Intersection,f
42822,Motor Vehicle In-Transport ,Dawn,Urban-Other Principal Arterial,Four-Way Intersection,f
42823,Pedestrian,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
42824,Tree (Standing Only),Daylight,Unknown,Not an Intersection,f
42825,Ditch,Daylight,Urban-Minor Arterial,Not an Intersection,t
42826,Rollover/Overturn,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42827,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
42828,Pedestrian,Daylight,Urban-Local Road or Street,Not an Intersection,f
42829,Tree (Standing Only),Dark - Lighted,Urban-Local Road or Street,T-Intersection,t
42830,Traffic Sign Support ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
42831,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,t
42832,Guardrail Face,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
42833,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
42834,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,t
42835,Tree (Standing Only),Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
42836,Guardrail Face,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42837,Fence,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
42838,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
42839,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
42840,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
42841,Rollover/Overturn,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,t
42842,Curb,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
42843,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
42844,Pedalcyclist,Daylight,Rural-Local Road or Street,T-Intersection,f
42845,Curb,Daylight,Urban-Local Road or Street,T-Intersection,f
42846,Tree (Standing Only),Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
42847,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
42848,Fell/Jumped from Vehicle,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
42849,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
42850,Fell/Jumped from Vehicle,Daylight,Urban-Local Road or Street,Not an Intersection,f
42851,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
42852,Immersion,Daylight,Urban-Local Road or Street,Not an Intersection,f
42853,Curb,Daylight,Urban-Local Road or Street,Not an Intersection,f
42854,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
42855,Pedestrian,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42856,Pedestrian,Daylight,Urban-Minor Arterial,Not an Intersection,f
42857,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42858,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
42859,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
42860,Pedestrian,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
42861,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
42862,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
42863,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
42864,Utility Pole/Light Support,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
71009,Rollover/Overturn,Dusk,Rural-Major Collector,Not an Intersection,t
42865,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,f
42866,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
42867,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
42868,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
42869,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
42870,Ditch,Daylight,Urban-Collector,Not an Intersection,f
42871,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
42872,Utility Pole/Light Support,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
42873,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
42874,Tree (Standing Only),Dawn,Rural-Local Road or Street,Not an Intersection,f
42875,Rollover/Overturn,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
42876,Parked Motor Vehicle ,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
42877,Pedalcyclist,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
42878,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
42879,Ditch,Dark - Unknown Lighting,Rural-Local Road or Street,Not an Intersection,f
42880,Ditch,Daylight,Urban-Local Road or Street,Not an Intersection,f
42881,Pedestrian,Daylight,Urban-Local Road or Street,Not an Intersection,f
42882,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
42883,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
42884,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
42885,Pedestrian,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,f
42886,Guardrail Face,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
42887,Tree (Standing Only),Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
42888,Pedestrian,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42889,Curb,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
42890,Curb,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
42891,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
42892,Pedalcyclist,Dusk,Urban-Local Road or Street,Not an Intersection,f
42893,Pedestrian,Dark - Lighted,Rural-Minor Arterial,Not an Intersection,f
42894,Motor Vehicle In-Transport ,Daylight,Unknown,Not an Intersection,f
42895,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
42896,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
42897,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
42898,Tree (Standing Only),Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
42899,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
42900,Ditch,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
42901,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
42902,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,t
42903,Fell/Jumped from Vehicle,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
42904,Other Fixed Object,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42905,Pedalcyclist,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
42906,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
42907,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
42908,Pedalcyclist,Daylight,Urban-Minor Arterial,T-Intersection,f
42909,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
42910,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
42911,Ditch,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
42912,Rollover/Overturn,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42913,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
42914,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
42915,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
42916,Fence,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,t
42917,Non-Motorist on Personal Conveyance,Daylight,Urban-Minor Arterial,T-Intersection,f
42918,"Other Post, Other Pole or Other Supports",Daylight,Rural-Local Road or Street,Not an Intersection,t
42919,Traffic Sign Support ,Dusk,Urban-Local Road or Street,Not an Intersection,t
42920,Pedestrian,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
42921,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,t
42922,Pedalcyclist,Daylight,Rural-Minor Arterial,Not an Intersection,f
42923,Ditch,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,t
42924,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,T-Intersection,t
42925,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
42926,Pedestrian,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
42927,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
42928,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
42929,Bridge Rail (Includes parapet),Daylight,Urban-Local Road or Street,Not an Intersection,f
42930,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
42931,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
42932,Guardrail Face,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
42933,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
42934,Motor Vehicle In-Transport ,Dusk,Rural-Local Road or Street,Not an Intersection,f
42935,Pedestrian,Dark - Lighted,Rural-Principal Arterial-Other,Four-Way Intersection,f
42936,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42937,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
42938,Bridge Pier or Support,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
42939,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
42940,Rollover/Overturn,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
42941,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,T-Intersection,f
42942,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
42943,Pedalcyclist,Daylight,Urban-Minor Arterial,Not an Intersection,f
42944,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
42945,Tree (Standing Only),Daylight,Urban-Other Principal Arterial,Not an Intersection,t
42946,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
42947,Thrown or Falling Object,Daylight,Rural-Local Road or Street,Not an Intersection,f
42948,Tree (Standing Only),Dusk,Rural-Principal Arterial-Interstate,Not an Intersection,t
42949,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
42950,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42951,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
42952,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
42953,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
42954,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,T-Intersection,f
42955,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
42956,Ditch,Daylight,Urban-Local Road or Street,Not an Intersection,f
42957,"Other Post, Other Pole or Other Supports",Daylight,Rural-Local Road or Street,Four-Way Intersection,f
42958,Pedestrian,Dawn,Rural-Local Road or Street,Not an Intersection,f
42959,Embankment,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
42960,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,t
42961,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Other Principal Arterial,T-Intersection,t
42962,Pedestrian,Dawn,Rural-Local Road or Street,Four-Way Intersection,f
42963,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
42964,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,t
42965,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
42966,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
42967,Pedalcyclist,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
42968,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
42969,Pedestrian,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
42970,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
42971,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
42972,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
42973,Tree (Standing Only),Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
42974,Tree (Standing Only),Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
42975,Utility Pole/Light Support,Daylight,Urban-Local Road or Street,Not an Intersection,t
42976,Pedalcyclist,Daylight,Rural-Minor Arterial,Y-Intersection,f
42977,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
42978,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
42979,Pedestrian,Dark - Not Lighted,Rural-Local Road or Street,Four-Way Intersection,f
42980,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42981,Pedalcyclist,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
42982,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
42983,Fell/Jumped from Vehicle,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42984,Bridge Pier or Support,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
42985,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
42986,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
42987,Live Animal,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,f
42988,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
42989,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42990,"Other Post, Other Pole or Other Supports",Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,t
42991,Guardrail Face,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
42992,Culvert,Daylight,Rural-Local Road or Street,Not an Intersection,f
42993,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
42994,Pedalcyclist,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,f
42995,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,T-Intersection,f
42996,Pedalcyclist,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,f
42997,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
42998,Pedalcyclist,Dark - Lighted,Urban-Other Principal Arterial,"Five Point, or More",f
42999,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
43000,Motor Vehicle In-Transport ,Dark - Unknown Lighting,Rural-Local Road or Street,Four-Way Intersection,f
43001,Utility Pole/Light Support,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
43002,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
43003,Curb,Daylight,Urban-Local Road or Street,Not an Intersection,f
43004,Wall,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
43005,Shrubbery,Daylight,Rural-Local Road or Street,Not an Intersection,f
43006,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
43007,Rollover/Overturn,Dawn,Urban-Local Road or Street,Not an Intersection,t
43008,Guardrail Face,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
43009,Culvert,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
43010,Pedestrian,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
43011,Tree (Standing Only),Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
43012,Pedalcyclist,Daylight,Rural-Local Road or Street,Not an Intersection,f
43013,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
43014,Shrubbery,Dark - Not Lighted,Urban-Local Road or Street,T-Intersection,t
43015,"Other Post, Other Pole or Other Supports",Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
43016,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,t
43017,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
43018,Non-Motorist on Personal Conveyance,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
43019,Pedestrian,Daylight,Rural-Local Road or Street,Not an Intersection,f
43020,Guardrail End,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
43021,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,T-Intersection,f
43022,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,t
43023,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Local Road or Street,T-Intersection,f
43024,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,f
43025,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
43026,Tree (Standing Only),Dawn,Rural-Minor Arterial,Not an Intersection,f
43027,Motor Vehicle In-Transport ,Dusk,Urban-Other Principal Arterial,Not an Intersection,f
43028,Curb,Daylight,Urban-Local Road or Street,Not an Intersection,t
43029,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
43030,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
43031,Tree (Standing Only),Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
43032,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Principal Arterial-Other,Four-Way Intersection,t
43033,Rollover/Overturn,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
43034,Utility Pole/Light Support,Dark - Unknown Lighting,Urban-Minor Arterial,Four-Way Intersection,t
43035,Pedalcyclist,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
43036,Other Object (not fixed),Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
43037,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
43038,Curb,Dark - Not Lighted,Rural-Local Road or Street,Roundabout,f
43039,Pedestrian,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,f
43040,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
43041,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Minor Arterial,T-Intersection,t
43042,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
43043,Utility Pole/Light Support,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
43044,Pedalcyclist,Daylight,Urban-Minor Arterial,Not an Intersection,t
43045,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
43046,Utility Pole/Light Support,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
43047,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
43048,Utility Pole/Light Support,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
43049,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
43050,Motor Vehicle In-Transport ,Dawn,Urban-Principal Arterial-Interstate,Not an Intersection,t
43051,Tree (Standing Only),Daylight,Urban-Minor Arterial,Not an Intersection,f
43052,Other Object (not fixed),Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
43053,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
43054,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
43055,Pedestrian,Daylight,Urban-Local Road or Street,Not an Intersection,f
43056,Tree (Standing Only),Daylight,Rural-Minor Arterial,Not an Intersection,t
43057,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
43058,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,T-Intersection,f
43059,Embankment,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
43060,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
43061,Utility Pole/Light Support,Dusk,Urban-Principal Arterial-Interstate,Not an Intersection,f
43062,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Four-Way Intersection,t
43063,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
43064,Utility Pole/Light Support,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
43065,Fence,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
43066,Pedestrian,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,t
43067,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,t
43088,Tree (Standing Only),Daylight,Urban-Local Road or Street,Not an Intersection,f
46159,Motor Vehicle In-Transport ,Daylight,Urban-Collector,Four-Way Intersection,f
43068,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
43069,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
43070,Fell/Jumped from Vehicle,Daylight,Rural-Local Road or Street,Not an Intersection,f
43071,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
43072,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
43073,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
43074,Curb,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
43075,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
43076,Guardrail End,Daylight,Rural-Local Road or Street,Not an Intersection,t
43077,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
43078,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Local Road or Street,T-Intersection,f
43079,Curb,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,f
43080,Pedalcyclist,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
43081,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
43082,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
43083,Utility Pole/Light Support,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
43084,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
43085,Rollover/Overturn,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
43086,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
43087,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,f
43089,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,t
43090,Pedestrian,Daylight,Urban-Minor Arterial,Not an Intersection,f
43091,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,t
43092,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,T-Intersection,f
43093,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,t
43094,Utility Pole/Light Support,Daylight,Urban-Local Road or Street,Not an Intersection,f
43095,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,T-Intersection,f
43096,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,f
43097,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
43098,Tree (Standing Only),Dark - Lighted,Urban-Other Principal Arterial,Y-Intersection,t
43099,Building,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
43100,Immersion,Daylight,Rural-Local Road or Street,Not an Intersection,t
43101,Concrete Traffic Barrier,Daylight,Urban-Local Road or Street,Not an Intersection,f
43102,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
