detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
27,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
28,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
29,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
30,Curb,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
31,Embankment,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
32,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
33,Concrete Traffic Barrier,Daylight,Rural-Minor Collector,Four-Way Intersection,t
34,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,t
35,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
36,Curb,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
37,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,f
38,Utility Pole/Light Support,Dawn,Rural-Minor Collector,Not an Intersection,f
39,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
40,Non-Motorist on Personal Conveyance,Dark - Lighted,Urban-Collector,Not an Intersection,t
41,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
42,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,f
43,Motor Vehicle In-Transport ,Daylight,Urban-Collector,T-Intersection,f
44,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
45,Pedestrian,Daylight,Urban-Minor Arterial,Not an Intersection,t
46,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
47,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
48,Curb,Daylight,Urban-Minor Arterial,Not an Intersection,f
49,Pedestrian,Daylight,Urban-Other Principal Arterial,T-Intersection,f
50,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
51,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,t
52,Concrete Traffic Barrier,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
53,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
54,Rollover/Overturn,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
55,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
56,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,f
57,Motor Vehicle In-Transport ,Dusk,Urban-Collector,Not an Intersection,t
58,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
59,Pedestrian,Dark - Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
60,Pedalcyclist,Dusk,Rural-Major Collector,Not an Intersection,f
61,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
62,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
63,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
64,Guardrail Face,Daylight,Rural-Major Collector,Not an Intersection,f
65,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
66,Pedestrian,Dawn,Urban-Principal Arterial-Interstate,Not an Intersection,f
67,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
68,Pedalcyclist,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
69,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
70,Culvert,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,t
71,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
72,Pedalcyclist,Daylight,Urban-Collector,Not an Intersection,f
73,Utility Pole/Light Support,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,t
74,Pedestrian,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
75,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
76,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
77,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,T-Intersection,f
78,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,t
79,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,T-Intersection,t
80,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
81,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
82,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
83,Pedestrian,Dusk,Urban-Minor Arterial,Not an Intersection,f
84,Railway Vehicle,Daylight,Rural-Local Road or Street,Not an Intersection,f
85,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,t
86,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
87,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
88,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
89,Tree (Standing Only),Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
90,Pedestrian,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
91,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
92,Pedestrian,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,f
93,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
94,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
95,Ground,Dark - Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
96,Utility Pole/Light Support,Dark - Not Lighted,Urban-Collector,Not an Intersection,t
97,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,T-Intersection,f
98,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
99,Utility Pole/Light Support,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
100,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
101,Rollover/Overturn,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
102,Guardrail Face,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
103,Pedestrian,Dark - Unknown Lighting,Urban-Local Road or Street,Not an Intersection,f
104,Rollover/Overturn,Dawn,Rural-Principal Arterial-Interstate,Not an Intersection,f
105,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
106,Embankment,Dark - Unknown Lighting,Urban-Collector,Not an Intersection,t
107,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
108,Embankment,Daylight,Rural-Minor Collector,Not an Intersection,t
109,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
110,Non-Motorist on Personal Conveyance,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
111,Pedestrian,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
112,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,T-Intersection,f
113,Shrubbery,Daylight,Rural-Local Road or Street,Not an Intersection,f
114,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,t
115,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
116,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
117,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
118,Motor Vehicle In-Transport ,Daylight,Urban-Collector,Four-Way Intersection,f
119,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
120,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,t
121,Pedestrian,Daylight,Rural-Major Collector,T-Intersection,f
122,Pedestrian,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
123,Motor Vehicle In-Transport ,Dusk,Urban-Collector,Four-Way Intersection,f
124,Pedestrian,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
125,Pedalcyclist,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
126,Fell/Jumped from Vehicle,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
127,Fence,Dark - Unknown Lighting,Urban-Other Principal Arterial,Not an Intersection,t
128,Unknown,Daylight,Rural-Major Collector,Unknown,f
129,Rollover/Overturn,Daylight,Rural-Major Collector,Unknown,f
130,Motor Vehicle In-Transport ,Dusk,Urban-Collector,Four-Way Intersection,f
131,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
132,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
133,Pedestrian,Daylight,Urban-Other Principal Arterial,Unknown,f
134,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
135,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
136,Pedalcyclist,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
137,Non-Motorist on Personal Conveyance,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
138,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
139,Pedestrian,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
140,Pedestrian,Dark - Unknown Lighting,Urban-Other Principal Arterial,Not an Intersection,t
141,Pedestrian,Daylight,Urban-Minor Arterial,Not an Intersection,f
142,Pedestrian,Dark - Not Lighted,Rural-Minor Arterial,T-Intersection,f
143,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
144,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
145,Unknown,Daylight,Urban-Minor Arterial,Unknown,f
146,Curb,Dusk,Urban-Local Road or Street,Four-Way Intersection,f
147,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
148,Pedalcyclist,Daylight,Urban-Principal Arterial-Interstate,Four-Way Intersection,f
149,Non-Motorist on Personal Conveyance,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
150,Pedalcyclist,Dark - Not Lighted,Urban-Minor Arterial,T-Intersection,f
151,Curb,Dark - Unknown Lighting,Urban-Minor Arterial,Not an Intersection,t
152,Ground,Daylight,Rural-Major Collector,Not an Intersection,f
153,Pedestrian,Dark - Unknown Lighting,Rural-Local Road or Street,T-Intersection,f
154,Motor Vehicle In-Transport ,Daylight,Rural-Minor Collector,Not an Intersection,f
155,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,t
156,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
157,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
158,Ditch,Daylight,Urban-Local Road or Street,Not an Intersection,f
159,Non-Motorist on Personal Conveyance,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
160,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
161,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
162,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Y-Intersection,f
163,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
164,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
165,Pedestrian,Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,t
166,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
167,Pedestrian,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,f
168,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,f
169,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
170,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
171,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
172,Rollover/Overturn,Dusk,Rural-Major Collector,Not an Intersection,f
173,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
174,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
175,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
176,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
177,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
178,Rollover/Overturn,Daylight,Rural-Minor Arterial,Not an Intersection,f
179,Traffic Signal Support,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
180,Rollover/Overturn,Dark - Unknown Lighting,Urban-Local Road or Street,Not an Intersection,t
181,Tree (Standing Only),Daylight,Urban-Local Road or Street,Not an Intersection,t
182,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
183,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
184,Pedestrian,Daylight,Urban-Local Road or Street,Not an Intersection,f
185,Rollover/Overturn,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
186,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
187,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
188,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
189,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
190,Concrete Traffic Barrier,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
191,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,t
192,Pedestrian,Dark - Unknown Lighting,Urban-Local Road or Street,Not an Intersection,f
193,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
194,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
195,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
196,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
197,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
198,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
199,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
200,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,t
201,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
202,Embankment,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
203,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
204,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Collector,Four-Way Intersection,f
205,Pedestrian,Dark - Unknown Lighting,Rural-Local Road or Street,Not an Intersection,f
206,Pedestrian,Dark - Unknown Lighting,Rural-Local Road or Street,Not an Intersection,f
207,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
208,Concrete Traffic Barrier,Dark - Lighted,Urban-Local Road or Street,T-Intersection,t
209,Ditch,Daylight,Rural-Minor Collector,Not an Intersection,t
210,Concrete Traffic Barrier,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
211,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
212,Tree (Standing Only),Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
213,Guardrail End,Daylight,Rural-Major Collector,Not an Intersection,f
214,Pedalcyclist,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
215,Pedestrian,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
216,Curb,Daylight,Urban-Local Road or Street,Not an Intersection,f
217,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,t
218,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
219,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
220,Boulder,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
221,Pedestrian,Daylight,Urban-Local Road or Street,Not an Intersection,f
222,Injured In Vehicle (Non-Collision),Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
223,Fence,Dusk,Rural-Major Collector,Not an Intersection,f
224,Fell/Jumped from Vehicle,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
225,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,t
226,Curb,Daylight,Urban-Minor Arterial,T-Intersection,f
227,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Four-Way Intersection,f
228,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Collector,Four-Way Intersection,f
229,Traffic Sign Support ,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
230,Curb,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,t
231,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
232,Rollover/Overturn,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
233,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
234,Pedestrian,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
235,Rollover/Overturn,Daylight,Rural-Minor Arterial,Not an Intersection,f
236,Rollover/Overturn,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
237,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,t
238,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
239,Pedalcyclist,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
240,Rollover/Overturn,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,t
241,Curb,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
242,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,t
243,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
244,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,t
245,Rollover/Overturn,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
246,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
247,Guardrail Face,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
248,Pedestrian,Daylight,Urban-Minor Arterial,Not an Intersection,f
249,Rollover/Overturn,Dark - Lighted,Rural-Principal Arterial-Other,Four-Way Intersection,f
250,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
251,"Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.)",Daylight,Rural-Local Road or Street,Not an Intersection,f
252,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
253,Guardrail Face,Dawn,Urban-Principal Arterial-Interstate,Not an Intersection,t
254,Embankment,Daylight,Rural-Minor Arterial,Not an Intersection,f
255,Fell/Jumped from Vehicle,Daylight,Urban-Other Principal Arterial,T-Intersection,f
256,Curb,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
257,Motor Vehicle In-Transport ,Daylight,Urban-Collector,Not an Intersection,t
258,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
259,Rollover/Overturn,Dusk,Rural-Minor Arterial,Not an Intersection,f
260,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
261,Pedestrian,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
262,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Minor Arterial,T-Intersection,t
263,Pedalcyclist,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,t
264,Rollover/Overturn,Daylight,Rural-Local Road or Street,Unknown,f
265,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
266,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
267,Pedestrian,Dark - Unknown Lighting,Urban-Local Road or Street,Not an Intersection,t
268,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
269,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
270,Curb,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
271,"Other Post, Other Pole or Other Supports",Dusk,Rural-Major Collector,T-Intersection,t
272,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
273,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
274,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
275,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,T-Intersection,t
276,Curb,Dark - Lighted,Urban-Collector,Not an Intersection,f
277,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
278,Fire/Explosion,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
279,Embankment,Daylight,Rural-Local Road or Street,Not an Intersection,f
280,Tree (Standing Only),Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
281,Tree (Standing Only),Daylight,Urban-Other Principal Arterial,Not an Intersection,f
282,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
283,"Other Post, Other Pole or Other Supports",Daylight,Rural-Major Collector,Not an Intersection,f
284,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
285,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
286,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
287,Tree (Standing Only),Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
288,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,t
289,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
290,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
291,Curb,Dark - Lighted,Urban-Collector,Not an Intersection,t
292,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,t
293,Rollover/Overturn,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
294,Motor Vehicle In-Transport ,Dusk,Urban-Collector,Four-Way Intersection,f
295,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
296,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
297,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
298,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
299,"Other Post, Other Pole or Other Supports",Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
300,Rollover/Overturn,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
301,Embankment,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,t
302,Rollover/Overturn,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
303,Fire/Explosion,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
304,Traffic Sign Support ,Daylight,Urban-Collector,Not an Intersection,t
305,Utility Pole/Light Support,Daylight,Urban-Collector,T-Intersection,t
306,Traffic Signal Support,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,t
307,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
308,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
309,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,t
310,Curb,Daylight,Urban-Local Road or Street,Not an Intersection,f
311,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
312,Pedalcyclist,Dusk,Urban-Other Principal Arterial,Not an Intersection,f
313,Motor Vehicle In-Transport ,Dark - Unknown Lighting,Urban-Other Principal Arterial,Not an Intersection,f
314,Pedestrian,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
315,Curb,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
316,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
317,Curb,Daylight,Urban-Minor Arterial,Not an Intersection,f
318,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
